person_id,FullDateUSA,min_reg_id,total_platelet_donations
52210839,07/11/2018,108558473,1
52301487,07/11/2018,108560045,1
52140162,07/11/2018,108560626,2
51800247,07/11/2018,108557156,2
51776031,07/11/2018,108557159,2
51762879,07/11/2018,108557136,1
51691917,07/11/2018,108559746,1
50361873,07/11/2018,108558946,1
50869613,07/11/2018,108557446,2
50651013,07/11/2018,108557169,2
2234796,07/11/2018,108559001,1
1209924,07/11/2018,108558718,1
1439753,07/11/2018,108559002,1
66137,07/11/2018,108557565,1
376522,07/11/2018,108559984,2
54122324,07/11/2018,108559445,2
54137341,07/11/2018,108559583,2
54145845,07/11/2018,108559502,2
54085397,07/11/2018,108558537,1
53518820,07/11/2018,108557146,2
53454353,07/11/2018,108559686,1
53195493,07/11/2018,108557260,2
53346839,07/11/2018,108559638,1
52987119,07/11/2018,108557406,1
53085675,07/11/2018,108557163,1
52981580,07/11/2018,108557181,3
52906426,07/11/2018,108557672,2
52963396,07/11/2018,108558084,1
52859962,07/11/2018,108557186,1
52885357,07/11/2018,108557139,2
52369109,07/11/2018,108560370,2
52059588,07/11/2018,108559522,2
51956406,07/11/2018,108559535,1
51963774,07/11/2018,108557284,3
51911137,07/11/2018,108557143,2
51886037,07/11/2018,108560233,2
51822068,07/11/2018,108559533,2
51764151,07/11/2018,108557173,2
2339362,07/11/2018,108558724,1
50224808,07/12/2018,108562447,1
50689548,07/12/2018,108560195,2
50939736,07/12/2018,108560902,2
51693107,07/12/2018,108560102,2
270174,07/12/2018,108560459,1
327961,07/12/2018,108560432,1
860553,07/12/2018,108560876,1
1780659,07/12/2018,108561614,1
51713624,07/12/2018,108560242,2
51855671,07/12/2018,108559792,1
51806821,07/12/2018,108559658,2
51922303,07/12/2018,108560732,1
52371519,07/12/2018,108559844,1
52263021,07/12/2018,108560163,2
52900006,07/12/2018,108559684,1
